# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0031134	p	sister chromatid biorientation	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P25694,P53148	P25694,P34223,P38903,P53148
GO:0031144	e	proteasome localization	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q02821	
GO:0031145	p	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P09798	P09798,P14724,P38042,P40577,P53068,P53886,Q04601,Q08683,Q12440
GO:0031146	p	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P14682,Q12018	P07834,P14682,P24814,P38352,P39014,P47005,P52286,Q04511,Q04922,Q05947,Q08273,Q12018
GO:0031167	e	rRNA methylation	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P15646,P25582,P38961	P15646,P25270,P25582,P38278,P38961,P41819
GO:0031201	p	SNARE complex	2/1159	6/1159	0.288	742	703	723	n.a.	P32602,P36015	P22213,P22214,P22804,P25385,P28791,P31109,P32602,P32867,P32912,P33328,P36015,P38736,P38932,P40357,P41834,P43682,P53146,P53604,Q01590,Q03322,Q04338,Q08144,Q12241,Q12255
GO:0031204	p	posttranslational protein targeting to membrane, translocation	2/1159	4/1159	0.687	1.77e+03	1.48e+03	1.72e+03	n.a.	P14906,P16474	P14906,P16474,P21825,P32915,P33754,P35179,P36016,P39742,P52870
GO:0031207	p	Sec62/Sec63 complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P14906	P14906,P21825,P33754,P39742
GO:0031234	p	extrinsic component of cytoplasmic side of plasma membrane	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P35169	P32600,P35169,P39940,P41318,Q08921
GO:0031261	p	DNA replication preinitiation complex	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32833	P24279,P29469,P29496,P30665,P32833,P38132,P38826,P40359,P47027,P50874,P53091,P53135,P54790,P54791,Q12146
GO:0031292	e	gene conversion at mating-type locus, DNA double-strand break processing	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P35187	
GO:0031298	e	replication fork protection complex	8/1159	6/1159	0.79	2.03e+03	1.63e+03	1.98e+03	n.a.	P02293,P02294,P02309,P04911,P25588,P32558,P61830,Q01454	P02293,P02309,P04786,P04911,P24279,P25588,P29469,P29496,P30665,P32354,P32558,P38132,P40359,P53091,P53840,P61830,Q01454,Q04636,Q04659,Q12146
GO:0031307	p	integral component of mitochondrial outer membrane	3/1159	7/1159	0.343	882	828	860	n.a.	P04840,P07213,P16547	P04840,P07213,P16547,P18409,P32191,P35180,P36060,P38297,P38325,P38825,P39102,P40015,P40458,P49334,P53969,P54783,P80967,Q03327,Q04458,Q06510,Q08176,Q3E798
GO:0031310	p	intrinsic component of vacuolar membrane	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P40046,P47075	P40046,P47075
GO:0031314	p	extrinsic component of mitochondrial inner membrane	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P14066,P35191,P49017,Q6Q560	O13525,P10834,P18900,P27680,P27697,P32266,P32335,P35191,P36064,P36135,P38143,P38812,P38909,P40051,P40990,P49017,P53140,P53722,Q05776,Q6Q560
GO:0031321	p	ascospore-type prospore assembly	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P07560	P07560,P32867,P36126,P38994,P39926
GO:0031369	p	translation initiation factor binding	5/1159	6/1159	1	2.57e+03	1.19e+03	2.51e+03	n.a.	P09064,P32497,P32911,P38431,P39730	P06103,P09064,P20433,P32481,P32497,P32911,P34087,P38431,P38912,P39730,P39936,Q12315
GO:0031370	e	eukaryotic initiation factor 4G binding	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P10080,P45978,Q01560	P10080,P45978,Q01560
GO:0031386	e	protein tag	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P05759,P0CH08,Q12306	P05759,P38182,P40554,Q03919,Q12306,Q6Q546
GO:0031389	p	Rad17 RFC-like complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40348	P38251,P38629,P40339,P40348
GO:0031390	p	Ctf18 RFC-like complex	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40348	P25559,P38251,P38629,P38877,P40339,P40348,P49956
GO:0031391	p	Elg1 RFC-like complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40348	P38251,P38629,P40339,P40348,Q12050
GO:0031410	p	cytoplasmic vesicle	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P01123	P01123,P46944
GO:0031415	e	NatA complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P12945,Q08689	P07347,P12945,Q08689
GO:0031422	e	RecQ helicase-Topo III complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P35187	
GO:0031428	e	box C/D snoRNP complex	5/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15646,Q03532,Q06506,Q12460,Q12499	P15646,P39990,Q03532,Q06506,Q12460,Q12499
GO:0031429	e	box H/ACA snoRNP complex	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32495,P33322,Q03532,Q6Q547	P28007,P32495,P33322,Q03532,Q6Q547
GO:0031440	p	regulation of mRNA 3'-end processing	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P23615	P07273,P23615
GO:0031452	e	negative regulation of heterochromatin assembly	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P35817	
GO:0031489	p	myosin V binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53141	P53141
GO:0031490	p	chromatin DNA binding	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P32657,Q12692	P32657,P36132,P46984,Q04603,Q12692,Q3E833
GO:0031491	e	nucleosome binding	6/1159	4/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P11632,P11633,P23615,P32558,P38144,Q01448	P06700,P06701,P11632,P11633,P11978,P23615,P32479,P32480,P32558,P38144,P43596,P47171,Q01448,Q04213,Q04636,Q08773,Q12072,Q12509
GO:0031492	e	nucleosomal DNA binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P22082	
GO:0031493	e	nucleosomal histone binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P80428	
GO:0031496	e	positive regulation of mating type switching	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P22082,P32591	
GO:0031499	e	TRAMP complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P47047,P53725	P40507,P47047,P48561,P53632,P53725,Q12476
GO:0031503	p	protein complex localization	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40327	P35193,P40327,Q12292
GO:0031505	p	fungal-type cell wall organization	7/1159	16/1159	0.0915	236	231	230	n.a.	P00445,P35169,P38689,P60010,Q02159,Q08245,Q12265	P00445,P06781,P15703,P20604,P22146,P23287,P23776,P25296,P25356,P25618,P28319,P32329,P32478,P32486,P32623,P32790,P32895,P33336,P33338,P35169,P36006,P36027,P36115,P36169,P38063,P38212,P38248,P38620,P38689,P38692,P38814,P38869,P39005,P40021,P40061,P40504,P40541,P41318,P42223,P42842,P43638,P47041,P47088,P52911,P53301,P53379,P53832,P54070,P54867,P60010,Q02159,Q03178,Q04429,Q04439,Q06325,Q06412,Q06991,Q07622,Q07651,Q08109,Q08236,Q08245,Q08921,Q12127,Q12265,Q12355,Q12734
GO:0031510	e	SUMO activating enzyme complex	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P52488,Q06624	
GO:0031515	p	tRNA (m1A) methyltransferase complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P41814	P41814,P46959
GO:0031518	p	CBF3 complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32504	P32504,P52286,P53397
GO:0031532	p	actin cytoskeleton reorganization	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P25343	P06780,P25343
GO:0031533	e	mRNA cap methyltransferase complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	O13297	
GO:0031564	p	transcription antitermination	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P23615	P07273,P23615,P53538
GO:0031571	e	mitotic G1 DNA damage checkpoint	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38891,Q07457	P06104,P38891,Q07457
GO:0031573	e	intra-S DNA damage checkpoint	4/1159	1/1159	0.374	964	900	940	n.a.	P21951,P25588,P35187,Q07457	P21951,P25588,P35187,P53917,Q04089,Q06340,Q07457
GO:0031578	p	mitotic spindle orientation checkpoint	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P29311	P07866,P29311,P32526,P33314,P38903,P38987,P39723,P53924,Q01919
GO:0031593	p	polyubiquitin binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53044	P38886,P53044
GO:0031625	p	ubiquitin protein ligase binding	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12018	P14359,P36117,P38167,P47029,P47050,P53202,P53244,Q02805,Q12018,Q12440,Q12502,Q12734
GO:0031647	e	regulation of protein stability	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P17157	
GO:0031648	e	protein destabilization	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P39073	
GO:0031683	p	G-protein beta/gamma-subunit complex binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04004	P08539,P10823,Q12017
GO:0031860	e	telomeric 3' overhang formation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P35187	
GO:0031901	p	early endosome membrane	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P39010	P32857,P39010,P48563,Q03322,Q03956
GO:0031902	p	late endosome membrane	1/1159	3/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P32571	P14359,P25604,P25656,P32319,P32571,P34078,P38247,P42939,P50079,P53290,Q00582,Q02205,Q02767,Q03322,Q04121,Q04338,Q08826,Q12246,Q99176
GO:0031929	p	TOR signaling	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P35169,P39015	P20604,P32600,P35169,P36123,P38691,P38873,P39015,P40061,P40485,P41318,P47041,P53094,P53955,Q04372,Q08236,Q08921
GO:0031930	p	mitochondria-nucleus signaling pathway	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P35169	P32607,P32608,P34072,P35169,P38165,P41318
GO:0031931	p	TORC1 complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P35169	P32600,P35169,P38873,P41318,Q08921
GO:0031936	e	negative regulation of chromatin silencing	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P07248,P53551	P07248,P11938,P40340,P53551,Q02457
GO:0031938	e	regulation of chromatin silencing at telomere	6/1159	2/1159	0.288	742	703	723	n.a.	P35817,P38351,P40517,P53064,P53973,P89105	P06243,P32835,P35817,P38351,P40517,P50874,P53064,P53973,P89105
GO:0031939	e	negative regulation of chromatin silencing at telomere	7/1159	3/1159	0.343	882	828	860	n.a.	P22579,P31385,P32561,P38255,P40505,Q08923,Q12363	P22579,P29496,P31385,P32561,P38255,P38262,P38429,P40505,P50947,P53686,Q03010,Q08923,Q12206,Q12363
GO:0031956	p	medium-chain fatty acid-CoA ligase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P30624	P30624,P39518
GO:0031957	e	very long-chain fatty acid-CoA ligase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P39002	
GO:0031965	p	nuclear membrane	12/1159	12/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06105,P14907,P20449,P20676,P21957,P32499,P39705,P40075,P49687,P53148,Q03790,Q05166	P06105,P06782,P14907,P19073,P20449,P20484,P20676,P21957,P32499,P32500,P32567,P33755,P34077,P35729,P36161,P38181,P38242,P38770,P39547,P39685,P39705,P39962,P39996,P40064,P40066,P40075,P40358,P40368,P40477,P40548,P46673,P47054,P47069,P48837,P49686,P49687,P52593,P52891,P53148,P53159,P53903,Q02199,Q02629,Q02630,Q03455,Q03760,Q03790,Q04431,Q04839,Q05166,Q06616,Q12063,Q12066,Q12315,Q12382
GO:0031966	p	mitochondrial membrane	1/1159	6/1159	0.124	320	313	312	n.a.	Q00711	P07271,P20107,P21801,P32798,P36017,P38851,P40098,P40364,P40502,P46989,P46998,P48813,P53142,P53171,P53311,P53848,Q00711,Q03218,Q03673,Q03798,Q05867,Q06011,Q06417,Q06485,Q06681,Q06839,Q08223,Q08959,Q08970,Q12029,Q12071,Q12374
GO:0031982	p	vesicle	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P07560,P53141	P07560,P19524,P53141,Q03446
GO:0031990	e	mRNA export from nucleus in response to heat stress	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P32499,P39705,Q05166	P20433,P32499,P35729,P36161,P39705,P49686,P52593,P52891,Q02629,Q05166
GO:0032006	p	regulation of TOR signaling	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P26637	P26637
GO:0032038	p	myosin II heavy chain binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53141	P53141
GO:0032040	e	small-subunit processome	29/1159	17/1159	0.1	258	253	252	n.a.	P05755,P0CX37,P15646,P20448,P25443,P33750,P34247,P35194,P38882,P40055,P47083,P48164,P48234,P53254,P53276,P53941,Q03973,Q04217,Q04500,Q05022,Q06287,Q06506,Q06631,Q06679,Q12136,Q12220,Q12460,Q12499,Q99207	O13516,P05755,P06367,P0CX37,P15646,P20448,P25443,P25586,P25635,P26786,P32899,P33750,P34247,P35194,P38882,P39516,P39990,P40055,P40362,P40498,P42945,P47083,P48164,P48234,P53254,P53276,P53941,Q02354,Q02931,Q03973,Q04177,Q04217,Q04305,Q04500,Q05022,Q05946,Q06078,Q06287,Q06506,Q06512,Q06631,Q06679,Q08492,Q12136,Q12220,Q12339,Q12460,Q12499,Q99207
GO:0032041	e	NAD-dependent histone deacetylase activity (H3-K14 specific)	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32561,P53973	P06700,P32561,P53096,P53973,Q02959
GO:0032044	p	DSIF complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P27692	P27692,P32914
GO:0032055	p	negative regulation of translation in response to stress	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P10080	P10080
GO:0032116	e	SMC loading complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q04002	
GO:0032120	p	ascospore-type prospore membrane assembly	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q07878	P28319,P53604,Q06321,Q07878
GO:0032126	p	eisosome	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P53252,P53278,Q05050,Q12230	P40485,P53252,P53278,P54003,Q03407,Q04279,Q05050,Q12230,Q12236
GO:0032135	p	DNA insertion or deletion binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38920	P14242,P25336,P25847,P38920
GO:0032139	e	dinucleotide insertion or deletion binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38920	
GO:0032160	p	septin filament array	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P32457,P32468	P25342,P32457,P32458,P32468
GO:0032184	e	SUMO polymer binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P31111	
GO:0032196	e	transposition	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P40161	
GO:0032197	p	transposition, RNA-mediated	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P0C2I9,Q03434,Q12472	O13535,P0C2I6,P0C2I9,P0C2J0,P0C2J1,P0CX63,P0CX74,P24309,P47024,P47098,P47099,P47100,Q03434,Q04214,Q04215,Q04670,Q12112,Q12273,Q12414,Q12490,Q12491,Q99337
GO:0032204	e	regulation of telomere maintenance	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P02829	
GO:0032212	e	positive regulation of telomere maintenance via telomerase	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P02829,P28707	P02829,P28707
GO:0032221	e	Rpd3S complex	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P22579,P32561,Q04779	P22579,P32561,Q03010,Q04779,Q12432
GO:0032232	p	negative regulation of actin filament bundle assembly	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32471	P32471
GO:0032258	p	CVT pathway	3/1159	5/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P01123,P53079,Q06671	P01123,P32381,P35193,P36115,P38182,P38862,P38932,P40094,P40344,P43601,P46944,P46989,P47057,P53079,P53104,P53195,P53271,P53855,P53867,P53951,P53959,Q02887,Q02948,Q03660,Q03818,Q04632,Q06096,Q06628,Q06671,Q07528,Q08144,Q12142,Q12527
GO:0032259	e	methylation	8/1159	7/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P05374,P05694,P06785,P25087,P40493,P48015,P49017,Q04371	P04161,P05374,P05694,P06785,P14908,P25087,P27680,P32469,P32643,P36056,P36150,P38892,P40493,P48015,P49017,P53336,Q03648,Q04371,Q04867,Q05874,Q06668,Q08985,Q12525
GO:0032263	p	GMP salvage	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04178	Q04178
GO:0032264	p	IMP salvage	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04178	P15274,Q04178
GO:0032266	p	phosphatidylinositol-3-phosphate binding	4/1159	6/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P07260,P32776,P38879,P46672	P07260,P29366,P32776,P32873,P32912,P32913,P34756,P36126,P38273,P38339,P38815,P38879,P40343,P40959,P46672,P46989,P47057,P47160,P53129,Q01846,Q04053,Q06651,Q06696,Q07528,Q08826,Q92331
GO:0032297	e	negative regulation of DNA-dependent DNA replication initiation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P09798	
GO:0032298	e	positive regulation of DNA-dependent DNA replication initiation	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P40466,P41813	
GO:0032299	e	ribonuclease H2 complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q05635	
GO:0032301	p	MutSalpha complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P11632	P11632,P25847,Q03834
GO:0032366	e	intracellular sterol transport	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q12408	
GO:0032377	p	regulation of intracellular lipid transport	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40075	P40075
GO:0032389	e	MutLalpha complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38920	
GO:0032392	e	DNA geometric change	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38086	
GO:0032432	p	actin filament bundle	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P17536,P32599,P60010	P17536,P19524,P32599,P40414,P60010,Q08641
GO:0032445	p	fructose import	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P04806,P04807	P04806,P04807
GO:0032450	e	maltose alpha-glucosidase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38158	
GO:0032454	e	histone demethylase activity (H3-K9 specific)	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P39956	
GO:0032456	p	endocytic recycling	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P01123	P01123,P38332,P39524,P39531,Q08924
GO:0032467	p	positive regulation of cytokinesis	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P34216	P34216,Q00684
GO:0032508	e	DNA duplex unwinding	9/1159	4/1159	0.265	684	649	666	n.a.	P35187,P38086,P38859,P40562,P53946,P80428,Q00416,Q03940,Q06218	P06839,P07271,P0CX14,P12954,P24279,P29469,P29496,P32644,P32807,P32849,P34243,P35187,P38086,P38766,P38859,P40562,P53115,P53946,P80428,Q00416,Q00578,Q02939,Q03940,Q04437,Q05549,Q06218,Q12386,Q12464
GO:0032511	p	late endosome to vacuole transport via multivesicular body sorting pathway	3/1159	5/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P36018,P41811,P69771	P36017,P36018,P39702,P39940,P40509,P41811,P47160,P52917,P53843,P54787,P69771,Q02866,Q03390,Q03407,Q03769,Q06263,Q12016,Q12236
GO:0032541	p	cortical endoplasmic reticulum	4/1159	5/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P47008,Q02201,Q04947,Q99287	P38250,P38713,P38755,P40499,P47008,P48231,Q02201,Q03640,Q04947,Q05567,Q06058,Q12246,Q12443,Q12451,Q12466,Q99287
GO:0032543	p	mitochondrial translation	13/1159	21/1159	0.226	582	558	567	n.a.	P07263,P12687,P17558,P19955,P22354,P25039,P36534,P40185,P48525,P53875,Q01163,Q02950,Q03799	O75012,P02381,P02992,P07263,P10662,P10663,P11325,P12686,P12687,P14063,P17558,P19955,P19956,P20084,P21771,P22353,P22354,P23369,P25038,P25039,P25348,P25626,P25642,P27929,P28778,P30775,P31334,P32048,P32387,P32388,P32611,P32902,P32904,P33759,P33893,P35996,P36056,P36516,P36517,P36519,P36520,P36521,P36523,P36525,P36526,P36527,P36528,P36531,P36532,P36533,P36534,P38064,P38120,P38175,P38714,P38771,P38796,P39677,P40033,P40185,P40496,P40858,P42847,P42900,P47141,P47150,P48525,P48526,P51998,P53260,P53292,P53305,P53724,P53732,P53733,P53875,P53881,P53937,Q01163,Q02204,Q02608,Q02950,Q03151,Q03201,Q03246,Q03430,Q03557,Q03799,Q03976,Q04599,Q06090,Q06678,Q12487
GO:0032545	e	CURI complex	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P39520,P39521,P53254	P25368,P38930,P39520,P39521,P53254
GO:0032549	p	ribonucleoside binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P22138	P04051,P08518,P22138,P22276
GO:0032575	e	ATP-dependent 5'-3' RNA helicase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q00416	
GO:0032592	p	integral component of mitochondrial membrane	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P21560	P18496,P21560,P32378,P37267,P38330,P40452,Q06567,Q12106
GO:0032777	e	Piccolo NuA4 histone acetyltransferase complex	3/1159	0/1159	0.25	643	615	627	n.a.	P38806,P43572,Q08649	
GO:0032781	e	positive regulation of ATPase activity	7/1159	5/1159	0.774	1.99e+03	1.61e+03	1.94e+03	n.a.	P25491,P32602,P35191,P53743,P53940,Q07914,Q12449	P25491,P32602,P35191,P39102,P40080,P48353,P53743,P53834,P53863,P53866,P53940,Q06263,Q06677,Q07914,Q07915,Q12449
GO:0032790	e	ribosome disassembly	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P33309,Q03195	P32769,P33309,P39677,Q03195
GO:0032872	e	regulation of stress-activated MAPK cascade	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P06101	
GO:0032874	e	positive regulation of stress-activated MAPK cascade	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P25357	
GO:0032878	e	regulation of establishment or maintenance of cell polarity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P17157	
GO:0032880	p	regulation of protein localization	2/1159	4/1159	0.687	1.77e+03	1.48e+03	1.72e+03	n.a.	P01120,P17157	P00546,P01120,P06780,P11792,P17157,P22204,P23201,P27637,P39940,P40048,P40091,P41697,P41832,P46683,P48566,P50111,P54786,Q03503,Q6WNK7
GO:0032889	p	regulation of vacuole fusion, non-autophagic	4/1159	5/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P00924,P00925,P32939,Q12434	P00924,P00925,P06780,P12868,P19073,P20795,P27801,P32939,P38959,P48365,Q03308,Q07468,Q12003,Q12434
GO:0032947	e	protein complex scaffold	6/1159	4/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P17629,P32468,P38129,P53040,Q03761,Q12118	P17629,P25342,P29366,P32468,P32829,P33441,P38129,P38737,P46677,P50102,P53040,Q03714,Q03761,Q05027,Q06410,Q12030,Q12118,Q12527
GO:0032958	p	inositol phosphate biosynthetic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q06685	P07250,Q06667,Q06685,Q12494
GO:0032968	e	positive regulation of transcription elongation from RNA polymerase II promoter	18/1159	12/1159	0.358	923	862	900	n.a.	O13297,P22147,P23615,P27692,P32447,P38074,P38351,P41813,P41895,P52553,P53064,P53549,Q01560,Q01939,Q03330,Q06697,Q08649,Q12514	O13297,P06100,P06102,P07273,P22147,P22219,P22543,P23615,P25293,P25632,P25655,P27692,P31384,P32447,P32914,P34909,P38074,P38351,P38439,P39008,P41813,P41895,P46988,P52553,P53064,P53280,P53549,P53829,P53900,P54000,Q01560,Q01939,Q03330,Q04493,Q06188,Q06697,Q08649,Q12514
GO:0032977	e	membrane insertase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P39952	
GO:0032979	e	protein insertion into mitochondrial membrane from inner side	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38300,P39952	P32839,P38300,P39952,P40990,P53239
GO:0033100	p	NuA3 histone acetyltransferase complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P35189	P35189,Q06188,Q12311
GO:0033106	e	cis-Golgi network membrane	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P36149	
GO:0033149	p	FFAT motif binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40075	P40075
GO:0033169	e	histone H3-K9 demethylation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P39956	
GO:0033186	e	CAF-1 complex	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P13712,Q12495	
GO:0033194	p	response to hydroperoxide	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P34760	P34760
GO:0033235	e	positive regulation of protein sumoylation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P31111	
